G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
54,Thu Feb 14 2013,7:30p EST,,Box Score,,Los Angeles Clippers,L,,101,125,25,29,L 1,,False,
55,Wed Feb 20 2013,7:30p EST,,Box Score,,Boston Celtics,W,,113,99,26,29,W 1,,False,
56,Fri Feb 22 2013,7:30p EST,,Box Score,,Portland Trail Blazers,W,,111,107,27,29,W 2,,False,
57,Sun Feb 24 2013,12:00p EST,,Box Score,@,Dallas Mavericks,W,,103,99,28,29,W 3,,False,
58,Mon Feb 25 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,108,119,28,30,L 1,,False,
59,Thu Feb 28 2013,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,116,94,29,30,W 1,,False,
60,Sun Mar 3 2013,6:30p EST,,Box Score,,Atlanta Hawks,W,,99,98,30,30,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Tue Mar 5 2013,8:30p EST,,Box Score,@,Oklahoma City Thunder,L,,105,122,30,31,L 1,,False,
62,Wed Mar 6 2013,7:00p EST,,Box Score,@,New Orleans Hornets,W,,108,102,31,31,W 1,,False,
63,Fri Mar 8 2013,7:30p EST,,Box Score,,Toronto Raptors,W,OT,118,116,32,31,W 2,,False,
64,Sun Mar 10 2013,12:30p EST,,Box Score,,Chicago Bulls,W,,90,81,33,31,W 3,,False,
65,Tue Mar 12 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,106,97,34,31,W 4,,False,
66,Wed Mar 13 2013,7:30p EST,,Box Score,@,Atlanta Hawks,L,,92,96,34,32,L 1,,False,
67,Fri Mar 15 2013,7:00p EST,,Box Score,@,Indiana Pacers,W,,99,93,35,32,W 1,,False,
68,Sun Mar 17 2013,6:30p EST,,Box Score,,Sacramento Kings,W,,113,102,36,32,W 2,,False,
69,Mon Mar 18 2013,7:00p EST,,Box Score,@,Phoenix Suns,L,,76,99,36,33,L 1,,False,
70,Fri Mar 22 2013,7:30p EST,,Box Score,,Washington Wizards,L,,100,103,36,34,L 2,,False,
71,Mon Mar 25 2013,7:30p EST,,Box Score,@,Golden State Warriors,L,,103,109,36,35,L 3,,False,
72,Wed Mar 27 2013,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,120,117,37,35,W 1,,False,
73,Thu Mar 28 2013,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,103,113,37,36,L 1,,False,
74,Sat Mar 30 2013,7:00p EST,,Box Score,@,Sacramento Kings,W,,103,98,38,36,W 1,,False,
75,Tue Apr 2 2013,7:30p EST,,Box Score,,Dallas Mavericks,W,,101,81,39,36,W 2,,False,
76,Fri Apr 5 2013,7:30p EST,,Box Score,,Memphis Grizzlies,W,,86,84,40,36,W 3,,False,
77,Sun Apr 7 2013,12:30p EST,,Box Score,@,Los Angeles Clippers,L,,95,109,40,37,L 1,,False,
78,Tue Apr 9 2013,7:30p EST,,Box Score,,New Orleans Hornets,W,,104,96,41,37,W 1,,False,
79,Wed Apr 10 2013,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,113,106,42,37,W 2,,False,
80,Fri Apr 12 2013,7:30p EST,,Box Score,,Golden State Warriors,W,,118,116,43,37,W 3,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Sun Apr 14 2013,6:30p EST,,Box Score,,San Antonio Spurs,W,,91,86,44,37,W 4,,False,
82,Wed Apr 17 2013,7:30p EST,,Box Score,,Houston Rockets,W,OT,99,95,45,37,W 5,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
1,Sun Apr 21 2013,,,Box Score,@,San Antonio Spurs,L,,79,91,0,1,L 1,,True,
2,Wed Apr 24 2013,,,Box Score,@,San Antonio Spurs,L,,91,102,0,2,L 2,,True,
3,Fri Apr 26 2013,,,Box Score,,San Antonio Spurs,L,,89,120,0,3,L 3,,True,
4,Sun Apr 28 2013,,,Box Score,,San Antonio Spurs,L,,82,103,0,4,L 4,,True,
