G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Sun Dec 25 2011,7:00p EST,,Box Score,,Orlando Magic,W,,97,89,1,0,W 1,,False,
2,Mon Dec 26 2011,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,104,100,2,0,W 2,,False,
3,Wed Dec 28 2011,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,98,95,3,0,W 3,,False,
4,Thu Dec 29 2011,7:00p EST,,Box Score,,Dallas Mavericks,W,,104,102,4,0,W 4,,False,
5,Sat Dec 31 2011,7:00p EST,,Box Score,,Phoenix Suns,W,,107,97,5,0,W 5,,False,
6,Mon Jan 2 2012,7:30p EST,,Box Score,@,Dallas Mavericks,L,,87,100,5,1,L 1,,False,
7,Tue Jan 3 2012,7:00p EST,,Box Score,,Portland Trail Blazers,L,,93,103,5,2,L 2,,False,
8,Fri Jan 6 2012,7:00p EST,,Box Score,,Houston Rockets,W,,109,94,6,2,W 1,,False,
9,Sat Jan 7 2012,7:00p EST,,Box Score,@,Houston Rockets,W,,98,95,7,2,W 2,,False,
10,Sun Jan 8 2012,6:00p EST,,Box Score,,San Antonio Spurs,W,,108,96,8,2,W 3,,False,
11,Tue Jan 10 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,100,95,9,2,W 4,,False,
12,Wed Jan 11 2012,7:00p EST,,Box Score,@,New Orleans Hornets,W,,95,85,10,2,W 5,,False,
13,Sat Jan 14 2012,7:00p EST,,Box Score,,New York Knicks,W,,104,92,11,2,W 6,,False,
14,Mon Jan 16 2012,8:00p EST,,Box Score,@,Boston Celtics,W,,97,88,12,2,W 7,,False,
15,Wed Jan 18 2012,7:00p EST,,Box Score,@,Washington Wizards,L,,102,105,12,3,L 1,,False,
16,Sat Jan 21 2012,8:00p EST,,Box Score,@,New Jersey Nets,W,,84,74,13,3,W 1,,False,
17,Mon Jan 23 2012,7:00p EST,,Box Score,,Detroit Pistons,W,,99,79,14,3,W 2,,False,
18,Wed Jan 25 2012,7:00p EST,,Box Score,,New Orleans Hornets,W,,101,91,15,3,W 3,,False,
19,Fri Jan 27 2012,7:30p EST,,Box Score,@,Golden State Warriors,W,,120,109,16,3,W 4,,False,
20,Mon Jan 30 2012,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,100,112,16,4,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Wed Feb 1 2012,7:00p EST,,Box Score,@,Dallas Mavericks,W,,95,86,17,4,W 1,,False,
22,Fri Feb 3 2012,7:00p EST,,Box Score,,Memphis Grizzlies,W,,101,94,18,4,W 2,,False,
23,Sat Feb 4 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,96,107,18,5,L 1,,False,
24,Mon Feb 6 2012,7:00p EST,,Box Score,@,Portland Trail Blazers,W,OT,111,107,19,5,W 1,,False,
25,Tue Feb 7 2012,7:30p EST,,Box Score,@,Golden State Warriors,W,,119,116,20,5,W 2,,False,
26,Thu Feb 9 2012,7:30p EST,,Box Score,@,Sacramento Kings,L,,101,106,20,6,L 1,,False,
27,Fri Feb 10 2012,8:30p EST,,Box Score,@,Utah Jazz,W,,101,87,21,6,W 1,,False,
28,Tue Feb 14 2012,7:00p EST,,Box Score,,Utah Jazz,W,,111,85,22,6,W 2,,False,
29,Wed Feb 15 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,95,96,22,7,L 1,,False,
30,Fri Feb 17 2012,7:00p EST,,Box Score,,Golden State Warriors,W,,110,87,23,7,W 1,,False,
31,Sun Feb 19 2012,7:00p EST,,Box Score,,Denver Nuggets,W,OT,124,118,24,7,W 2,,False,
