G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Wed Oct 30 2013,,,Box Score,,Miami Heat,W,,114,110,1,0,W 1,,False,
2,Fri Nov 1 2013,,,Box Score,@,Washington Wizards,W,,109,102,2,0,W 2,,False,
3,Sat Nov 2 2013,,,Box Score,,Chicago Bulls,W,,107,104,3,0,W 3,,False,
4,Mon Nov 4 2013,,,Box Score,,Golden State Warriors,L,,90,110,3,1,L 1,,False,
5,Wed Nov 6 2013,,,Box Score,,Washington Wizards,L,,102,116,3,2,L 2,,False,
6,Fri Nov 8 2013,,,Box Score,,Cleveland Cavaliers,W,,94,79,4,2,W 1,,False,
7,Sat Nov 9 2013,,,Box Score,@,Cleveland Cavaliers,L,2OT,125,127,4,3,L 1,,False,
8,Mon Nov 11 2013,,,Box Score,,San Antonio Spurs,L,,85,109,4,4,L 2,,False,
9,Wed Nov 13 2013,,,Box Score,,Houston Rockets,W,OT,123,117,5,4,W 1,,False,
10,Fri Nov 15 2013,,,Box Score,@,Atlanta Hawks,L,,103,113,5,5,L 1,,False,
11,Sat Nov 16 2013,,,Box Score,@,New Orleans Pelicans,L,,98,135,5,6,L 2,,False,
12,Mon Nov 18 2013,,,Box Score,@,Dallas Mavericks,L,,94,97,5,7,L 3,,False,
13,Wed Nov 20 2013,,,Box Score,,Toronto Raptors,L,,98,108,5,8,L 4,,False,
14,Fri Nov 22 2013,,,Box Score,,Milwaukee Bucks,W,OT,115,107,6,8,W 1,,False,
15,Sat Nov 23 2013,,,Box Score,@,Indiana Pacers,L,,98,106,6,9,L 1,,False,
16,Wed Nov 27 2013,,,Box Score,@,Orlando Magic,L,,94,105,6,10,L 2,,False,
17,Fri Nov 29 2013,,,Box Score,,New Orleans Pelicans,L,,105,121,6,11,L 3,,False,
18,Sun Dec 1 2013,,,Box Score,@,Detroit Pistons,L,,100,115,6,12,L 4,,False,
19,Tue Dec 3 2013,,,Box Score,,Orlando Magic,W,2OT,126,125,7,12,W 1,,False,
20,Fri Dec 6 2013,,,Box Score,@,Charlotte Bobcats,L,,88,105,7,13,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Sat Dec 7 2013,,,Box Score,,Denver Nuggets,L,,92,103,7,14,L 2,,False,
22,Mon Dec 9 2013,,,Box Score,,Los Angeles Clippers,L,,83,94,7,15,L 3,,False,
23,Wed Dec 11 2013,8:00p EST,,Box Score,@,Minnesota Timberwolves,L,,99,106,7,16,L 4,,False,
24,Fri Dec 13 2013,,,Box Score,@,Toronto Raptors,L,,100,108,7,17,L 5,,False,
25,Sat Dec 14 2013,,,Box Score,,Portland Trail Blazers,L,,105,139,7,18,L 6,,False,
26,Mon Dec 16 2013,,,Box Score,@,Brooklyn Nets,L,,94,130,7,19,L 7,,False,
27,Fri Dec 20 2013,,,Box Score,,Brooklyn Nets,W,OT,121,120,8,19,W 1,,False,
28,Sat Dec 21 2013,,,Box Score,@,Milwaukee Bucks,L,,106,116,8,20,L 1,,False,
29,Sat Dec 28 2013,,,Box Score,@,Phoenix Suns,L,,101,115,8,21,L 2,,False,
30,Sun Dec 29 2013,,,Box Score,@,Los Angeles Lakers,W,,111,104,9,21,W 1,,False,
31,Wed Jan 1 2014,,,Box Score,@,Denver Nuggets,W,,114,102,10,21,W 2,,False,
32,Thu Jan 2 2014,,,Box Score,@,Sacramento Kings,W,,113,104,11,21,W 3,,False,
33,Sat Jan 4 2014,,,Box Score,@,Portland Trail Blazers,W,,101,99,12,21,W 4,,False,
34,Mon Jan 6 2014,,,Box Score,,Minnesota Timberwolves,L,,95,126,12,22,L 1,,False,
35,Tue Jan 7 2014,,,Box Score,@,Cleveland Cavaliers,L,,93,111,12,23,L 2,,False,
36,Fri Jan 10 2014,,,Box Score,,Detroit Pistons,L,,104,114,12,24,L 3,,False,
37,Sat Jan 11 2014,,,Box Score,,New York Knicks,L,,92,102,12,25,L 4,,False,
38,Wed Jan 15 2014,,,Box Score,,Charlotte Bobcats,W,,95,92,13,25,W 1,,False,
39,Fri Jan 17 2014,,,Box Score,,Miami Heat,L,,86,101,13,26,L 1,,False,
40,Sat Jan 18 2014,,,Box Score,@,Chicago Bulls,L,,78,103,13,27,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
41,Mon Jan 20 2014,,,Box Score,@,Washington Wizards,L,,99,107,13,28,L 3,,False,
42,Wed Jan 22 2014,,,Box Score,@,New York Knicks,W,,110,106,14,28,W 1,,False,
43,Fri Jan 24 2014,,,Box Score,,Toronto Raptors,L,,95,104,14,29,L 1,,False,
44,Sat Jan 25 2014,,,Box Score,,Oklahoma City Thunder,L,,91,103,14,30,L 2,,False,
45,Mon Jan 27 2014,,,Box Score,,Phoenix Suns,L,,113,124,14,31,L 3,,False,
46,Wed Jan 29 2014,,,Box Score,@,Boston Celtics,W,,95,94,15,31,W 1,,False,
47,Fri Jan 31 2014,,,Box Score,,Atlanta Hawks,L,,99,125,15,32,L 1,,False,
48,Sat Feb 1 2014,,,Box Score,@,Detroit Pistons,L,,96,113,15,33,L 2,,False,
49,Mon Feb 3 2014,,,Box Score,@,Brooklyn Nets,L,,102,108,15,34,L 3,,False,
50,Wed Feb 5 2014,,,Box Score,,Boston Celtics,L,,108,114,15,35,L 4,,False,
51,Fri Feb 7 2014,,,Box Score,,Los Angeles Lakers,L,,98,112,15,36,L 5,,False,
52,Sun Feb 9 2014,,,Box Score,@,Los Angeles Clippers,L,,78,123,15,37,L 6,,False,
53,Mon Feb 10 2014,,,Box Score,@,Golden State Warriors,L,,80,123,15,38,L 7,,False,
54,Wed Feb 12 2014,,,Box Score,@,Utah Jazz,L,,100,105,15,39,L 8,,False,
55,Tue Feb 18 2014,,,Box Score,,Cleveland Cavaliers,L,,85,114,15,40,L 9,,False,
56,Fri Feb 21 2014,,,Box Score,,Dallas Mavericks,L,,112,124,15,41,L 10,,False,
57,Mon Feb 24 2014,,,Box Score,,Milwaukee Bucks,L,,110,130,15,42,L 11,,False,
58,Wed Feb 26 2014,,,Box Score,,Orlando Magic,L,,90,101,15,43,L 12,,False,
59,Sat Mar 1 2014,,,Box Score,,Washington Wizards,L,,103,122,15,44,L 13,,False,
60,Sun Mar 2 2014,,,Box Score,@,Orlando Magic,L,,81,92,15,45,L 14,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Tue Mar 4 2014,,,Box Score,@,Oklahoma City Thunder,L,,92,125,15,46,L 15,,False,
62,Sat Mar 8 2014,,,Box Score,,Utah Jazz,L,,92,104,15,47,L 16,,False,
63,Mon Mar 10 2014,,,Box Score,@,New York Knicks,L,,110,123,15,48,L 17,,False,
64,Wed Mar 12 2014,,,Box Score,,Sacramento Kings,L,,98,115,15,49,L 18,,False,
65,Fri Mar 14 2014,,,Box Score,,Indiana Pacers,L,,94,101,15,50,L 19,,False,
66,Sat Mar 15 2014,,,Box Score,,Memphis Grizzlies,L,,77,103,15,51,L 20,,False,
67,Mon Mar 17 2014,,,Box Score,@,Indiana Pacers,L,,90,99,15,52,L 21,,False,
68,Wed Mar 19 2014,,,Box Score,,Chicago Bulls,L,,94,102,15,53,L 22,,False,
69,Fri Mar 21 2014,,,Box Score,,New York Knicks,L,,92,93,15,54,L 23,,False,
70,Sat Mar 22 2014,,,Box Score,@,Chicago Bulls,L,,81,91,15,55,L 24,,False,
71,Mon Mar 24 2014,,,Box Score,@,San Antonio Spurs,L,,91,113,15,56,L 25,,False,
72,Thu Mar 27 2014,,,Box Score,@,Houston Rockets,L,,98,120,15,57,L 26,,False,
73,Sat Mar 29 2014,,,Box Score,,Detroit Pistons,W,,123,98,16,57,W 1,,False,
74,Mon Mar 31 2014,,,Box Score,@,Atlanta Hawks,L,,95,103,16,58,L 1,,False,
