G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Wed Oct 30 2013,,,Box Score,,Milwaukee Bucks,W,,90,83,1,0,W 1,,False,
2,Thu Oct 31 2013,,,Box Score,@,Chicago Bulls,L,,81,82,1,1,L 1,,False,
3,Sun Nov 3 2013,,,Box Score,,Minnesota Timberwolves,L,,100,109,1,2,L 2,,False,
4,Tue Nov 5 2013,,,Box Score,,Charlotte Bobcats,L,,97,102,1,3,L 3,,False,
5,Fri Nov 8 2013,,,Box Score,@,Charlotte Bobcats,W,,101,91,2,3,W 1,,False,
6,Sun Nov 10 2013,,,Box Score,,San Antonio Spurs,L,,89,120,2,4,L 1,,False,
7,Wed Nov 13 2013,,,Box Score,@,Atlanta Hawks,W,,95,91,3,4,W 1,,False,
8,Thu Nov 14 2013,,,Box Score,,Houston Rockets,L,,106,109,3,5,L 1,,False,
9,Sat Nov 16 2013,,,Box Score,,Atlanta Hawks,L,,90,110,3,6,L 2,,False,
10,Tue Nov 19 2013,,,Box Score,@,Detroit Pistons,L,,86,92,3,7,L 3,,False,
11,Wed Nov 20 2013,,,Box Score,,Indiana Pacers,L,OT,96,103,3,8,L 4,,False,
12,Sat Nov 23 2013,,,Box Score,@,Washington Wizards,L,,89,98,3,9,L 5,,False,
13,Mon Nov 25 2013,,,Box Score,@,Portland Trail Blazers,L,,91,102,3,10,L 6,,False,
14,Wed Nov 27 2013,,,Box Score,@,Los Angeles Clippers,L,,80,93,3,11,L 7,,False,
15,Fri Nov 29 2013,,,Box Score,@,Denver Nuggets,L,,95,97,3,12,L 8,,False,
16,Sun Dec 1 2013,,,Box Score,,New Orleans Pelicans,L,,99,103,3,13,L 9,,False,
17,Thu Dec 5 2013,,,Box Score,@,Brooklyn Nets,W,,113,83,4,13,W 1,,False,
18,Fri Dec 6 2013,,,Box Score,,Orlando Magic,W,,121,83,5,13,W 2,,False,
19,Sun Dec 8 2013,,,Box Score,,Boston Celtics,L,,73,114,5,14,L 1,,False,
20,Tue Dec 10 2013,,,Box Score,@,Cleveland Cavaliers,L,,94,109,5,15,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Wed Dec 11 2013,,,Box Score,,Chicago Bulls,W,,83,78,6,15,W 1,,False,
22,Fri Dec 13 2013,,,Box Score,@,Boston Celtics,L,,86,90,6,16,L 1,,False,
23,Sat Dec 14 2013,,,Box Score,,Atlanta Hawks,W,,111,106,7,16,W 1,,False,
24,Mon Dec 16 2013,,,Box Score,,Washington Wizards,L,,101,102,7,17,L 1,,False,
25,Wed Dec 18 2013,,,Box Score,@,Milwaukee Bucks,W,2OT,107,101,8,17,W 1,,False,
26,Sat Dec 21 2013,,,Box Score,,Memphis Grizzlies,L,,87,95,8,18,L 1,,False,
27,Mon Dec 23 2013,,,Box Score,@,Orlando Magic,W,,103,98,9,18,W 1,,False,
28,Wed Dec 25 2013,,,Box Score,,Oklahoma City Thunder,L,,94,123,9,19,L 1,,False,
29,Fri Dec 27 2013,,,Box Score,,Toronto Raptors,L,,83,95,9,20,L 2,,False,
30,Sat Dec 28 2013,,,Box Score,@,Toronto Raptors,L,,100,115,9,21,L 3,,False,
