G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Sun Dec 25 2011,2:00p EST,,Box Score,@,Los Angeles Lakers,W,,88,87,1,0,W 1,,False,
2,Mon Dec 26 2011,7:30p EST,,Box Score,@,Golden State Warriors,L,,91,99,1,1,L 1,,False,
3,Thu Dec 29 2011,7:00p EST,,Box Score,@,Sacramento Kings,W,,108,98,2,1,W 1,,False,
4,Fri Dec 30 2011,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,114,101,3,1,W 2,,False,
5,Sun Jan 1 2012,7:00p EST,,Box Score,,Memphis Grizzlies,W,,104,64,4,1,W 3,,False,
6,Tue Jan 3 2012,7:00p EST,,Box Score,,Atlanta Hawks,W,,76,74,5,1,W 4,,False,
7,Wed Jan 4 2012,7:30p EST,,Box Score,@,Detroit Pistons,W,,99,83,6,1,W 5,,False,
8,Fri Jan 6 2012,8:00p EST,,Box Score,@,Orlando Magic,W,,97,83,7,1,W 6,,False,
9,Sat Jan 7 2012,7:00p EST,,Box Score,@,Atlanta Hawks,L,,94,109,7,2,L 1,,False,
10,Mon Jan 9 2012,7:00p EST,,Box Score,,Detroit Pistons,W,,92,68,8,2,W 1,,False,
11,Tue Jan 10 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,111,100,9,2,W 2,,False,
12,Wed Jan 11 2012,7:00p EST,,Box Score,,Washington Wizards,W,,78,64,10,2,W 3,,False,
13,Fri Jan 13 2012,8:00p EST,,Box Score,@,Boston Celtics,W,,88,79,11,2,W 4,,False,
14,Sat Jan 14 2012,7:00p EST,,Box Score,,Toronto Raptors,W,,77,64,12,2,W 5,,False,
15,Mon Jan 16 2012,12:00p EST,,Box Score,@,Memphis Grizzlies,L,,86,102,12,3,L 1,,False,
16,Tue Jan 17 2012,7:00p EST,,Box Score,,Phoenix Suns,W,,118,97,13,3,W 1,,False,
17,Fri Jan 20 2012,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,114,75,14,3,W 2,,False,
18,Sat Jan 21 2012,7:00p EST,,Box Score,,Charlotte Bobcats,W,,95,89,15,3,W 3,,False,
19,Mon Jan 23 2012,7:00p EST,,Box Score,,New Jersey Nets,W,,110,95,16,3,W 4,,False,
20,Wed Jan 25 2012,7:00p EST,,Box Score,,Indiana Pacers,L,,90,95,16,4,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Fri Jan 27 2012,7:00p EST,,Box Score,,Milwaukee Bucks,W,,107,100,17,4,W 1,,False,
22,Sun Jan 29 2012,3:30p EST,,Box Score,@,Miami Heat,L,,93,97,17,5,L 1,,False,
23,Mon Jan 30 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,98,88,18,5,W 1,,False,
24,Wed Feb 1 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,82,98,18,6,L 1,,False,
25,Thu Feb 2 2012,8:00p EST,,Box Score,@,New York Knicks,W,,105,102,19,6,W 1,,False,
26,Sat Feb 4 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,113,90,20,6,W 2,,False,
27,Mon Feb 6 2012,7:30p EST,,Box Score,@,New Jersey Nets,W,,108,87,21,6,W 3,,False,
