G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
54,Thu Feb 21 2013,7:00p EST,,Box Score,,Miami Heat,L,,67,86,31,23,L 1,,False,
55,Fri Feb 22 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,105,75,32,23,W 1,,False,
56,Sun Feb 24 2013,8:30p EST,,Box Score,@,Oklahoma City Thunder,L,,72,102,32,24,L 1,,False,
57,Tue Feb 26 2013,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,98,101,32,25,L 2,,False,
58,Thu Feb 28 2013,7:00p EST,,Box Score,,Philadelphia 76ers,W,,93,82,33,25,W 1,,False,
59,Sat Mar 2 2013,7:00p EST,,Box Score,,Brooklyn Nets,W,,96,85,34,25,W 2,,False,
60,Sun Mar 3 2013,8:00p EST,,Box Score,@,Indiana Pacers,L,,92,97,34,26,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Wed Mar 6 2013,8:00p EST,,Box Score,@,San Antonio Spurs,L,,83,101,34,27,L 2,,False,
62,Fri Mar 8 2013,7:00p EST,,Box Score,,Utah Jazz,W,,89,88,35,27,W 1,,False,
63,Sun Mar 10 2013,12:30p EST,,Box Score,@,Los Angeles Lakers,L,,81,90,35,28,L 1,,False,
64,Wed Mar 13 2013,7:00p EST,,Box Score,@,Sacramento Kings,L,,79,121,35,29,L 2,,False,
65,Fri Mar 15 2013,7:30p EST,,Box Score,@,Golden State Warriors,W,,113,95,36,29,W 1,,False,
66,Mon Mar 18 2013,7:00p EST,,Box Score,,Denver Nuggets,L,OT,118,119,36,30,L 1,,False,
67,Thu Mar 21 2013,7:00p EST,,Box Score,,Portland Trail Blazers,L,,89,99,36,31,L 2,,False,
68,Sat Mar 23 2013,7:00p EST,,Box Score,,Indiana Pacers,W,,87,84,37,31,W 1,,False,
69,Sun Mar 24 2013,6:00p EST,,Box Score,@,Minnesota Timberwolves,W,,104,97,38,31,W 2,,False,
70,Wed Mar 27 2013,7:00p EST,,Box Score,,Miami Heat,W,,101,97,39,31,W 3,,False,
71,Sat Mar 30 2013,1:00p EST,,Box Score,@,Dallas Mavericks,L,,98,100,39,32,L 1,,False,
72,Sun Mar 31 2013,6:00p EST,,Box Score,,Detroit Pistons,W,,95,94,40,32,W 1,,False,
73,Tue Apr 2 2013,7:00p EST,,Box Score,@,Washington Wizards,L,,86,90,40,33,L 1,,False,
74,Thu Apr 4 2013,7:00p EST,,Box Score,@,Brooklyn Nets,W,,92,90,41,33,W 1,,False,
75,Fri Apr 5 2013,7:00p EST,,Box Score,,Orlando Magic,W,,87,86,42,33,W 2,,False,
76,Sun Apr 7 2013,7:30p EST,,Box Score,@,Detroit Pistons,L,,85,99,42,34,L 1,,False,
77,Tue Apr 9 2013,7:00p EST,,Box Score,,Toronto Raptors,L,,98,101,42,35,L 2,,False,
78,Thu Apr 11 2013,7:00p EST,,Box Score,,New York Knicks,W,OT,118,111,43,35,W 1,,False,
79,Fri Apr 12 2013,7:00p EST,,Box Score,@,Toronto Raptors,L,,88,97,43,36,L 1,,False,
80,Sun Apr 14 2013,1:00p EST,,Box Score,@,Miami Heat,L,,93,105,43,37,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Mon Apr 15 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,102,84,44,37,W 1,,False,
82,Wed Apr 17 2013,7:00p EST,,Box Score,,Washington Wizards,W,,95,92,45,37,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
1,Sat Apr 20 2013,,,Box Score,@,Brooklyn Nets,L,,89,106,0,1,L 1,,True,
2,Mon Apr 22 2013,,,Box Score,@,Brooklyn Nets,W,,90,82,1,1,W 1,,True,
3,Thu Apr 25 2013,,,Box Score,,Brooklyn Nets,W,,79,76,2,1,W 2,,True,
4,Sat Apr 27 2013,,,Box Score,,Brooklyn Nets,W,3OT,142,134,3,1,W 3,,True,
5,Mon Apr 29 2013,,,Box Score,@,Brooklyn Nets,L,,91,110,3,2,L 1,,True,
6,Thu May 2 2013,,,Box Score,,Brooklyn Nets,L,,92,95,3,3,L 2,,True,
7,Sat May 4 2013,,,Box Score,@,Brooklyn Nets,W,,99,93,4,3,W 1,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
8,Mon May 6 2013,,,Box Score,@,Miami Heat,W,,93,86,5,3,W 2,,True,
9,Wed May 8 2013,,,Box Score,@,Miami Heat,L,,78,115,5,4,L 1,,True,
10,Fri May 10 2013,,,Box Score,,Miami Heat,L,,94,104,5,5,L 2,,True,
11,Mon May 13 2013,,,Box Score,,Miami Heat,L,,65,88,5,6,L 3,,True,
12,Wed May 15 2013,,,Box Score,@,Miami Heat,L,,91,94,5,7,L 4,,True,
