G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Tue Dec 27 2011,7:30p EST,,Box Score,@,New Jersey Nets,W,,106,70,1,0,W 1,,False,
2,Wed Dec 28 2011,7:30p EST,,Box Score,,Washington Wizards,W,,101,83,2,0,W 2,,False,
3,Fri Dec 30 2011,7:30p EST,,Box Score,,New Jersey Nets,W,,105,98,3,0,W 3,,False,
4,Sat Dec 31 2011,6:00p EST,,Box Score,@,Houston Rockets,L,,84,95,3,1,L 1,,False,
5,Mon Jan 2 2012,7:30p EST,,Box Score,@,Miami Heat,W,,100,92,4,1,W 1,,False,
6,Tue Jan 3 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,74,76,4,2,L 1,,False,
7,Thu Jan 5 2012,8:00p EST,,Box Score,,Miami Heat,L,3OT,109,116,4,3,L 2,,False,
8,Fri Jan 6 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,OT,102,96,5,3,W 1,,False,
9,Sat Jan 7 2012,7:00p EST,,Box Score,,Chicago Bulls,W,,109,94,6,3,W 2,,False,
10,Mon Jan 9 2012,7:30p EST,,Box Score,@,New Jersey Nets,W,,106,101,7,3,W 3,,False,
11,Wed Jan 11 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,,84,96,7,4,L 1,,False,
12,Thu Jan 12 2012,7:30p EST,,Box Score,,Charlotte Bobcats,W,,111,81,8,4,W 1,,False,
13,Sat Jan 14 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,93,91,9,4,W 2,,False,
14,Mon Jan 16 2012,4:00p EST,,Box Score,,Toronto Raptors,W,,93,84,10,4,W 3,,False,
15,Wed Jan 18 2012,8:00p EST,,Box Score,,Portland Trail Blazers,W,,92,89,11,4,W 4,,False,
16,Fri Jan 20 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,76,90,11,5,L 1,,False,
17,Sat Jan 21 2012,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,121,94,12,5,W 1,,False,
