G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Tue Oct 30 2012,8:00p EST,,Box Score,,Boston Celtics,W,,120,107,1,0,W 1,,False,
2,Fri Nov 2 2012,8:00p EST,,Box Score,@,New York Knicks,L,,84,104,1,1,L 1,,False,
3,Sat Nov 3 2012,7:30p EST,,Box Score,,Denver Nuggets,W,,119,116,2,1,W 1,,False,
4,Mon Nov 5 2012,7:30p EST,,Box Score,,Phoenix Suns,W,,124,99,3,1,W 2,,False,
5,Wed Nov 7 2012,7:30p EST,,Box Score,,Brooklyn Nets,W,,103,73,4,1,W 3,,False,
6,Fri Nov 9 2012,7:30p EST,,Box Score,@,Atlanta Hawks,W,,95,89,5,1,W 4,,False,
7,Sun Nov 11 2012,5:00p EST,,Box Score,@,Memphis Grizzlies,L,,86,104,5,2,L 1,,False,
8,Mon Nov 12 2012,7:00p EST,,Box Score,@,Houston Rockets,W,,113,110,6,2,W 1,,False,
9,Wed Nov 14 2012,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,100,107,6,3,L 1,,False,
10,Thu Nov 15 2012,8:30p EST,,Box Score,@,Denver Nuggets,W,,98,93,7,3,W 1,,False,
11,Sat Nov 17 2012,7:00p EST,,Box Score,@,Phoenix Suns,W,,97,88,8,3,W 2,,False,
12,Wed Nov 21 2012,7:30p EST,,Box Score,,Milwaukee Bucks,W,OT,113,106,9,3,W 3,,False,
13,Sat Nov 24 2012,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,110,108,10,3,W 4,,False,
14,Thu Nov 29 2012,8:00p EST,,Box Score,,San Antonio Spurs,W,,105,100,11,3,W 5,,False,
15,Sat Dec 1 2012,7:30p EST,,Box Score,,Brooklyn Nets,W,,102,89,12,3,W 6,,False,
16,Tue Dec 4 2012,7:00p EST,,Box Score,@,Washington Wizards,L,,101,105,12,4,L 1,,False,
17,Thu Dec 6 2012,8:00p EST,,Box Score,,New York Knicks,L,,92,112,12,5,L 2,,False,
18,Sat Dec 8 2012,7:30p EST,,Box Score,,New Orleans Hornets,W,,106,90,13,5,W 1,,False,
19,Mon Dec 10 2012,7:30p EST,,Box Score,,Atlanta Hawks,W,,101,92,14,5,W 2,,False,
20,Wed Dec 12 2012,7:30p EST,,Box Score,,Golden State Warriors,L,,95,97,14,6,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Sat Dec 15 2012,7:30p EST,,Box Score,,Washington Wizards,W,,102,72,15,6,W 1,,False,
22,Tue Dec 18 2012,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,103,92,16,6,W 2,,False,
23,Thu Dec 20 2012,8:30p EST,,Box Score,@,Dallas Mavericks,W,,110,95,17,6,W 3,,False,
24,Sat Dec 22 2012,7:30p EST,,Box Score,,Utah Jazz,W,,105,89,18,6,W 4,,False,
25,Tue Dec 25 2012,5:30p EST,,Box Score,,Oklahoma City Thunder,W,,103,97,19,6,W 5,,False,
26,Wed Dec 26 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,105,92,20,6,W 6,,False,
27,Fri Dec 28 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,99,109,20,7,L 1,,False,
28,Sat Dec 29 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,85,104,20,8,L 2,,False,
29,Mon Dec 31 2012,5:00p EST,,Box Score,@,Orlando Magic,W,OT,112,110,21,8,W 1,,False,
30,Wed Jan 2 2013,7:30p EST,,Box Score,,Dallas Mavericks,W,OT,119,109,22,8,W 2,,False,
