G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Wed Oct 30 2013,,,Box Score,@,Detroit Pistons,L,,102,113,0,1,L 1,,False,
2,Fri Nov 1 2013,,,Box Score,,Philadelphia 76ers,L,,102,109,0,2,L 2,,False,
3,Sun Nov 3 2013,,,Box Score,@,Miami Heat,L,,93,103,0,3,L 3,,False,
4,Wed Nov 6 2013,,,Box Score,@,Philadelphia 76ers,W,,116,102,1,3,W 1,,False,
5,Fri Nov 8 2013,,,Box Score,,Brooklyn Nets,W,OT,112,108,2,3,W 2,,False,
6,Sun Nov 10 2013,,,Box Score,@,Oklahoma City Thunder,L,OT,105,106,2,4,L 1,,False,
7,Tue Nov 12 2013,,,Box Score,@,Dallas Mavericks,L,,95,105,2,5,L 2,,False,
8,Wed Nov 13 2013,,,Box Score,@,San Antonio Spurs,L,,79,92,2,6,L 3,,False,
9,Sat Nov 16 2013,,,Box Score,,Cleveland Cavaliers,L,OT,96,103,2,7,L 4,,False,
10,Tue Nov 19 2013,,,Box Score,,Minnesota Timberwolves,W,,104,100,3,7,W 1,,False,
11,Wed Nov 20 2013,,,Box Score,@,Cleveland Cavaliers,W,,98,91,4,7,W 2,,False,
12,Fri Nov 22 2013,,,Box Score,@,Toronto Raptors,L,,88,96,4,8,L 1,,False,
13,Sat Nov 23 2013,,,Box Score,,New York Knicks,W,,98,89,5,8,W 1,,False,
14,Tue Nov 26 2013,,,Box Score,,Los Angeles Lakers,W,,116,111,6,8,W 2,,False,
15,Wed Nov 27 2013,,,Box Score,@,Milwaukee Bucks,W,OT,100,92,7,8,W 3,,False,
16,Fri Nov 29 2013,,,Box Score,@,Indiana Pacers,L,,73,93,7,9,L 1,,False,
17,Sat Nov 30 2013,,,Box Score,,Atlanta Hawks,W,,108,101,8,9,W 1,,False,
18,Mon Dec 2 2013,,,Box Score,,Orlando Magic,W,,98,80,9,9,W 2,,False,
19,Fri Dec 6 2013,,,Box Score,,Milwaukee Bucks,L,OT,105,109,9,10,L 1,,False,
20,Mon Dec 9 2013,,,Box Score,,Denver Nuggets,L,,74,75,9,11,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Fri Dec 13 2013,,,Box Score,@,Atlanta Hawks,L,OT,99,101,9,12,L 3,,False,
22,Sat Dec 14 2013,,,Box Score,,Los Angeles Clippers,L,,97,113,9,13,L 4,,False,
23,Mon Dec 16 2013,,,Box Score,@,New York Knicks,W,,102,101,10,13,W 1,,False,
24,Wed Dec 18 2013,,,Box Score,@,Brooklyn Nets,W,,113,107,11,13,W 2,,False,
25,Sat Dec 21 2013,,,Box Score,@,Boston Celtics,W,,106,99,12,13,W 3,,False,
26,Fri Dec 27 2013,,,Box Score,@,Minnesota Timberwolves,L,,98,120,12,14,L 1,,False,
27,Sat Dec 28 2013,,,Box Score,,Detroit Pistons,W,,106,82,13,14,W 1,,False,
28,Mon Dec 30 2013,,,Box Score,@,Detroit Pistons,W,,106,99,14,14,W 2,,False,
29,Wed Jan 1 2014,,,Box Score,,Dallas Mavericks,L,,78,87,14,15,L 1,,False,
30,Fri Jan 3 2014,,,Box Score,,Toronto Raptors,L,,88,101,14,16,L 2,,False,
31,Sun Jan 5 2014,,,Box Score,,Golden State Warriors,L,,96,112,14,17,L 3,,False,
