G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
54,Tue Feb 12 2013,7:30p EST,,Box Score,@,Golden State Warriors,W,,116,107,29,25,W 1,,False,
55,Wed Feb 13 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,96,106,29,26,L 1,,False,
56,Wed Feb 20 2013,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,122,119,30,26,W 1,,False,
57,Fri Feb 22 2013,7:30p EST,,Box Score,@,Brooklyn Nets,W,,106,96,31,26,W 2,,False,
58,Sat Feb 23 2013,7:00p EST,,Box Score,@,Washington Wizards,L,,103,105,31,27,L 1,,False,
59,Wed Feb 27 2013,7:00p EST,,Box Score,,Milwaukee Bucks,L,,107,110,31,28,L 2,,False,
60,Fri Mar 1 2013,7:00p EST,,Box Score,@,Orlando Magic,W,,118,110,32,28,W 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Sun Mar 3 2013,6:00p EST,,Box Score,,Dallas Mavericks,W,,136,103,33,28,W 2,,False,
62,Wed Mar 6 2013,7:30p EST,,Box Score,@,Dallas Mavericks,L,,108,112,33,29,L 1,,False,
63,Fri Mar 8 2013,7:30p EST,,Box Score,@,Golden State Warriors,W,,94,88,34,29,W 1,,False,
64,Sat Mar 9 2013,7:00p EST,,Box Score,@,Phoenix Suns,L,,105,107,34,30,L 1,,False,
65,Wed Mar 13 2013,7:00p EST,,Box Score,,Phoenix Suns,W,,111,81,35,30,W 1,,False,
66,Fri Mar 15 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,108,100,36,30,W 2,,False,
67,Sun Mar 17 2013,6:00p EST,,Box Score,,Golden State Warriors,L,,78,108,36,31,L 1,,False,
68,Wed Mar 20 2013,7:00p EST,,Box Score,,Utah Jazz,W,,100,93,37,31,W 1,,False,
69,Fri Mar 22 2013,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,116,78,38,31,W 2,,False,
70,Sun Mar 24 2013,6:00p EST,,Box Score,,San Antonio Spurs,W,,96,95,39,31,W 3,,False,
71,Wed Mar 27 2013,7:00p EST,,Box Score,,Indiana Pacers,L,,91,100,39,32,L 1,,False,
72,Fri Mar 29 2013,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,94,103,39,33,L 2,,False,
73,Sat Mar 30 2013,7:00p EST,,Box Score,,Los Angeles Clippers,W,,98,81,40,33,W 1,,False,
74,Mon Apr 1 2013,7:00p EST,,Box Score,,Orlando Magic,W,,111,103,41,33,W 2,,False,
75,Wed Apr 3 2013,7:00p EST,,Box Score,@,Sacramento Kings,W,,112,102,42,33,W 3,,False,
76,Fri Apr 5 2013,7:30p EST,,Box Score,@,Portland Trail Blazers,W,,116,98,43,33,W 4,,False,
77,Sat Apr 6 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,114,132,43,34,L 1,,False,
78,Tue Apr 9 2013,7:00p EST,,Box Score,,Phoenix Suns,W,,101,98,44,34,W 1,,False,
79,Fri Apr 12 2013,7:00p EST,,Box Score,,Memphis Grizzlies,L,,78,82,44,35,L 1,,False,
80,Sun Apr 14 2013,6:00p EST,,Box Score,,Sacramento Kings,W,,121,100,45,35,W 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Mon Apr 15 2013,7:00p EST,,Box Score,@,Phoenix Suns,L,,112,119,45,36,L 1,,False,
82,Wed Apr 17 2013,7:30p EST,,Box Score,@,Los Angeles Lakers,L,OT,95,99,45,37,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
1,Sun Apr 21 2013,,,Box Score,@,Oklahoma City Thunder,L,,91,120,0,1,L 1,,True,
2,Wed Apr 24 2013,,,Box Score,@,Oklahoma City Thunder,L,,102,105,0,2,L 2,,True,
3,Sat Apr 27 2013,,,Box Score,,Oklahoma City Thunder,L,,101,104,0,3,L 3,,True,
4,Mon Apr 29 2013,,,Box Score,,Oklahoma City Thunder,W,,105,103,1,3,W 1,,True,
5,Wed May 1 2013,,,Box Score,@,Oklahoma City Thunder,W,,107,100,2,3,W 2,,True,
6,Fri May 3 2013,,,Box Score,,Oklahoma City Thunder,L,,94,103,2,4,L 1,,True,
