G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Mon Dec 26 2011,7:00p EST,,Box Score,,Milwaukee Bucks,W,,96,95,1,0,W 1,,False,
2,Wed Dec 28 2011,7:00p EST,,Box Score,,Miami Heat,L,,95,96,1,1,L 1,,False,
3,Fri Dec 30 2011,7:00p EST,,Box Score,,Orlando Magic,L,,79,100,1,2,L 2,,False,
4,Sun Jan 1 2012,6:00p EST,,Box Score,@,Miami Heat,L,,90,129,1,3,L 3,,False,
5,Tue Jan 3 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,101,115,1,4,L 4,,False,
6,Wed Jan 4 2012,7:30p EST,,Box Score,@,New York Knicks,W,,118,110,2,4,W 1,,False,
7,Fri Jan 6 2012,7:00p EST,,Box Score,,Atlanta Hawks,L,OT,96,102,2,5,L 1,,False,
8,Sat Jan 7 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,,77,99,2,6,L 2,,False,
9,Mon Jan 9 2012,7:30p EST,,Box Score,@,New York Knicks,L,,87,91,2,7,L 3,,False,
10,Tue Jan 10 2012,7:00p EST,,Box Score,,Houston Rockets,L,,70,82,2,8,L 4,,False,
11,Thu Jan 12 2012,7:30p EST,,Box Score,@,Atlanta Hawks,L,,81,111,2,9,L 5,,False,
12,Fri Jan 13 2012,7:00p EST,,Box Score,,Detroit Pistons,L,,81,98,2,10,L 6,,False,
13,Sat Jan 14 2012,7:00p EST,,Box Score,,Golden State Warriors,W,,112,100,3,10,W 1,,False,
14,Mon Jan 16 2012,2:00p EST,,Box Score,,Cleveland Cavaliers,L,,94,102,3,11,L 1,,False,
15,Tue Jan 17 2012,7:00p EST,,Box Score,@,Orlando Magic,L,,89,96,3,12,L 2,,False,
16,Sat Jan 21 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,89,95,3,13,L 3,,False,
17,Sun Jan 22 2012,6:00p EST,,Box Score,@,New Jersey Nets,L,,87,97,3,14,L 4,,False,
18,Tue Jan 24 2012,7:00p EST,,Box Score,,New York Knicks,L,,78,111,3,15,L 5,,False,
19,Wed Jan 25 2012,7:00p EST,,Box Score,@,Washington Wizards,L,,75,92,3,16,L 6,,False,
20,Fri Jan 27 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,72,89,3,17,L 7,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Sat Jan 28 2012,7:00p EST,,Box Score,,Washington Wizards,L,,99,102,3,18,L 8,,False,
22,Tue Jan 31 2012,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,73,106,3,19,L 9,,False,
23,Wed Feb 1 2012,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,68,112,3,20,L 10,,False,
24,Sat Feb 4 2012,7:00p EST,,Box Score,@,Phoenix Suns,L,,89,95,3,21,L 11,,False,
25,Tue Feb 7 2012,7:30p EST,,Box Score,@,Boston Celtics,L,,84,94,3,22,L 12,,False,
26,Fri Feb 10 2012,7:00p EST,,Box Score,,Chicago Bulls,L,,64,95,3,23,L 13,,False,
27,Sat Feb 11 2012,7:00p EST,,Box Score,,Los Angeles Clippers,L,,86,111,3,24,L 14,,False,
28,Mon Feb 13 2012,7:00p EST,,Box Score,,Philadelphia 76ers,L,,89,98,3,25,L 15,,False,
29,Wed Feb 15 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,90,102,3,26,L 16,,False,
30,Fri Feb 17 2012,7:00p EST,,Box Score,@,Toronto Raptors,W,,98,91,4,26,W 1,,False,
31,Sun Feb 19 2012,6:00p EST,,Box Score,@,Indiana Pacers,L,,73,108,4,27,L 1,,False,
32,Wed Feb 22 2012,7:00p EST,,Box Score,,Indiana Pacers,L,,88,102,4,28,L 2,,False,
33,Wed Feb 29 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,94,109,4,29,L 3,,False,
34,Fri Mar 2 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,72,102,4,30,L 4,,False,
35,Sun Mar 4 2012,6:00p EST,,Box Score,,New Jersey Nets,L,,101,104,4,31,L 5,,False,
36,Tue Mar 6 2012,7:00p EST,,Box Score,,Orlando Magic,W,,100,84,5,31,W 1,,False,
37,Wed Mar 7 2012,7:00p EST,,Box Score,,Utah Jazz,L,,93,99,5,32,L 1,,False,
38,Fri Mar 9 2012,7:00p EST,,Box Score,,New Jersey Nets,L,,74,83,5,33,L 2,,False,
39,Sat Mar 10 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,95,122,5,34,L 3,,False,
40,Mon Mar 12 2012,7:00p EST,,Box Score,@,New Orleans Hornets,W,,73,71,6,34,W 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
41,Wed Mar 14 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,87,107,6,35,L 1,,False,
42,Thu Mar 15 2012,7:30p EST,,Box Score,@,Dallas Mavericks,L,,96,101,6,36,L 2,,False,
43,Sat Mar 17 2012,7:00p EST,,Box Score,,Toronto Raptors,W,,107,103,7,36,W 1,,False,
44,Mon Mar 19 2012,7:00p EST,,Box Score,,Philadelphia 76ers,L,,80,105,7,37,L 1,,False,
45,Fri Mar 23 2012,7:00p EST,,Box Score,,Milwaukee Bucks,L,,92,112,7,38,L 2,,False,
46,Sat Mar 24 2012,7:30p EST,,Box Score,@,New Jersey Nets,L,,89,102,7,39,L 3,,False,
47,Mon Mar 26 2012,7:00p EST,,Box Score,,Boston Celtics,L,,95,102,7,40,L 4,,False,
48,Wed Mar 28 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,83,88,7,41,L 5,,False,
49,Fri Mar 30 2012,7:00p EST,,Box Score,,Denver Nuggets,L,,88,99,7,42,L 6,,False,
50,Sat Mar 31 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,OT,107,110,7,43,L 7,,False,
51,Tue Apr 3 2012,7:00p EST,,Box Score,@,Toronto Raptors,L,,87,92,7,44,L 8,,False,
52,Wed Apr 4 2012,7:30p EST,,Box Score,@,Atlanta Hawks,L,,93,120,7,45,L 9,,False,
53,Fri Apr 6 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,90,95,7,46,L 10,,False,
54,Sat Apr 7 2012,8:00p EST,,Box Score,,Atlanta Hawks,L,,96,116,7,47,L 11,,False,
55,Mon Apr 9 2012,7:00p EST,,Box Score,,Washington Wizards,L,,85,113,7,48,L 12,,False,
56,Tue Apr 10 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,90,103,7,49,L 13,,False,
57,Thu Apr 12 2012,7:00p EST,,Box Score,,Detroit Pistons,L,,85,109,7,50,L 14,,False,
58,Fri Apr 13 2012,7:30p EST,,Box Score,@,Miami Heat,L,,82,105,7,51,L 15,,False,
59,Sun Apr 15 2012,6:00p EST,,Box Score,,Boston Celtics,L,,82,94,7,52,L 16,,False,
60,Mon Apr 16 2012,7:00p EST,,Box Score,,New Orleans Hornets,L,,67,75,7,53,L 17,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Wed Apr 18 2012,7:00p EST,,Box Score,,Chicago Bulls,L,,68,100,7,54,L 18,,False,
62,Fri Apr 20 2012,7:00p EST,,Box Score,,Memphis Grizzlies,L,,80,85,7,55,L 19,,False,
63,Sun Apr 22 2012,6:00p EST,,Box Score,,Sacramento Kings,L,,88,114,7,56,L 20,,False,
64,Mon Apr 23 2012,7:00p EST,,Box Score,@,Washington Wizards,L,,73,101,7,57,L 21,,False,
65,Wed Apr 25 2012,7:00p EST,,Box Score,@,Orlando Magic,L,,95,102,7,58,L 22,,False,
66,Thu Apr 26 2012,8:00p EST,,Box Score,,New York Knicks,L,,84,104,7,59,L 23,,False,
