G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
28,Sun Feb 12 2012,7:00p EST,,Box Score,@,Atlanta Hawks,W,,107,87,21,7,W 2,,False,
29,Mon Feb 13 2012,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,114,96,22,7,W 3,,False,
30,Tue Feb 14 2012,7:00p EST,,Box Score,@,Indiana Pacers,W,,105,90,23,7,W 4,,False,
31,Fri Feb 17 2012,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,111,87,24,7,W 5,,False,
32,Sun Feb 19 2012,3:30p EST,,Box Score,,Orlando Magic,W,,90,78,25,7,W 6,,False,
33,Tue Feb 21 2012,7:30p EST,,Box Score,,Sacramento Kings,W,,120,108,26,7,W 7,,False,
34,Thu Feb 23 2012,7:00p EST,,Box Score,,New York Knicks,W,,102,88,27,7,W 8,,False,
35,Thu Mar 1 2012,7:30p EST,,Box Score,@,Portland Trail Blazers,W,,107,93,28,7,W 9,,False,
36,Fri Mar 2 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,98,99,28,8,L 1,,False,
37,Sun Mar 4 2012,12:30p EST,,Box Score,@,Los Angeles Lakers,L,,83,93,28,9,L 2,,False,
38,Tue Mar 6 2012,7:30p EST,,Box Score,,New Jersey Nets,W,,108,78,29,9,W 1,,False,
39,Wed Mar 7 2012,7:30p EST,,Box Score,,Atlanta Hawks,W,,89,86,30,9,W 2,,False,
40,Sat Mar 10 2012,7:30p EST,,Box Score,,Indiana Pacers,W,OT,93,91,31,9,W 3,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
41,Tue Mar 13 2012,7:00p EST,,Box Score,@,Orlando Magic,L,OT,98,104,31,10,L 1,,False,
42,Wed Mar 14 2012,8:30p EST,,Box Score,@,Chicago Bulls,L,,102,106,31,11,L 2,,False,
43,Fri Mar 16 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,84,78,32,11,W 1,,False,
44,Sun Mar 18 2012,7:00p EST,,Box Score,,Orlando Magic,W,,91,81,33,11,W 2,,False,
45,Tue Mar 20 2012,7:30p EST,,Box Score,,Phoenix Suns,W,,99,95,34,11,W 3,,False,
46,Fri Mar 23 2012,7:30p EST,,Box Score,@,Detroit Pistons,W,,88,73,35,11,W 4,,False,
47,Sun Mar 25 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,87,103,35,12,L 1,,False,
48,Mon Mar 26 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,,90,105,35,13,L 2,,False,
49,Thu Mar 29 2012,8:00p EST,,Box Score,,Dallas Mavericks,W,,106,85,36,13,W 1,,False,
50,Fri Mar 30 2012,7:00p EST,,Box Score,@,Toronto Raptors,W,,113,101,37,13,W 2,,False,
51,Sun Apr 1 2012,3:30p EST,,Box Score,@,Boston Celtics,L,,72,91,37,14,L 1,,False,
52,Tue Apr 3 2012,7:30p EST,,Box Score,,Philadelphia 76ers,W,,99,93,38,14,W 1,,False,
53,Wed Apr 4 2012,8:00p EST,,Box Score,,Oklahoma City Thunder,W,,98,93,39,14,W 2,,False,
54,Fri Apr 6 2012,7:30p EST,,Box Score,,Memphis Grizzlies,L,,82,97,39,15,L 1,,False,
55,Sun Apr 8 2012,6:00p EST,,Box Score,,Detroit Pistons,W,,98,75,40,15,W 1,,False,
56,Tue Apr 10 2012,7:00p EST,,Box Score,,Boston Celtics,L,,107,115,40,16,L 1,,False,
57,Thu Apr 12 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,OT,86,96,40,17,L 2,,False,
58,Fri Apr 13 2012,7:30p EST,,Box Score,,Charlotte Bobcats,W,,105,82,41,17,W 1,,False,
59,Sun Apr 15 2012,1:00p EST,,Box Score,@,New York Knicks,W,,93,85,42,17,W 2,,False,
60,Mon Apr 16 2012,7:30p EST,,Box Score,@,New Jersey Nets,W,,101,98,43,17,W 3,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Wed Apr 18 2012,7:30p EST,,Box Score,,Toronto Raptors,W,,96,72,44,17,W 4,,False,
62,Thu Apr 19 2012,8:00p EST,,Box Score,,Chicago Bulls,W,,83,72,45,17,W 5,,False,
63,Sat Apr 21 2012,7:30p EST,,Box Score,,Washington Wizards,L,,84,86,45,18,L 1,,False,
64,Sun Apr 22 2012,6:00p EST,,Box Score,,Houston Rockets,W,,97,88,46,18,W 1,,False,
65,Tue Apr 24 2012,8:00p EST,,Box Score,@,Boston Celtics,L,,66,78,46,19,L 1,,False,
