G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
54,Sun Feb 24 2013,7:00p EST,,Box Score,@,New York Knicks,L,,93,99,22,32,L 5,,False,
55,Tue Feb 26 2013,7:00p EST,,Box Score,,Orlando Magic,L,,84,98,22,33,L 6,,False,
56,Thu Feb 28 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,82,93,22,34,L 7,,False,
57,Sat Mar 2 2013,7:00p EST,,Box Score,,Golden State Warriors,W,,104,97,23,34,W 1,,False,
58,Sun Mar 3 2013,6:00p EST,,Box Score,@,Washington Wizards,L,,87,90,23,35,L 1,,False,
59,Tue Mar 5 2013,7:00p EST,,Box Score,,Boston Celtics,L,,101,109,23,36,L 2,,False,
60,Wed Mar 6 2013,7:30p EST,,Box Score,@,Atlanta Hawks,L,,96,107,23,37,L 3,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Fri Mar 8 2013,8:00p EST,,Box Score,@,Miami Heat,L,,93,102,23,38,L 4,,False,
62,Sun Mar 10 2013,6:00p EST,,Box Score,@,Orlando Magic,L,,91,99,23,39,L 5,,False,
63,Mon Mar 11 2013,7:00p EST,,Box Score,,Brooklyn Nets,W,,106,97,24,39,W 1,,False,
64,Wed Mar 13 2013,7:00p EST,,Box Score,,Miami Heat,L,,94,98,24,40,L 1,,False,
65,Sat Mar 16 2013,7:30p EST,,Box Score,,Indiana Pacers,W,,98,91,25,40,W 1,,False,
66,Mon Mar 18 2013,7:00p EST,,Box Score,,Portland Trail Blazers,W,,101,100,26,40,W 2,,False,
67,Wed Mar 20 2013,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,72,101,26,41,L 1,,False,
68,Thu Mar 21 2013,7:00p EST,,Box Score,@,Denver Nuggets,L,,100,101,26,42,L 2,,False,
69,Sun Mar 24 2013,6:00p EST,,Box Score,@,Sacramento Kings,W,,117,103,27,42,W 1,,False,
70,Mon Mar 25 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,91,107,27,43,L 1,,False,
71,Wed Mar 27 2013,7:00p EST,,Box Score,,Milwaukee Bucks,W,,100,92,28,43,W 1,,False,
72,Fri Mar 29 2013,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,97,87,29,43,W 2,,False,
73,Sat Mar 30 2013,8:00p EST,,Box Score,,Charlotte Bobcats,W,,100,92,30,43,W 3,,False,
74,Wed Apr 3 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,83,88,30,44,L 1,,False,
75,Fri Apr 5 2013,7:30p EST,,Box Score,@,Atlanta Hawks,W,,101,90,31,44,W 1,,False,
76,Sat Apr 6 2013,7:30p EST,,Box Score,@,Miami Heat,L,,87,106,31,45,L 1,,False,
77,Tue Apr 9 2013,7:30p EST,,Box Score,@,Brooklyn Nets,L,,83,104,31,46,L 2,,False,
78,Wed Apr 10 2013,7:00p EST,,Box Score,,Atlanta Hawks,L,,101,124,31,47,L 3,,False,
79,Fri Apr 12 2013,7:00p EST,,Box Score,@,Washington Wizards,W,,97,86,32,47,W 1,,False,
80,Sun Apr 14 2013,3:30p EST,,Box Score,,Cleveland Cavaliers,W,,91,77,33,47,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Mon Apr 15 2013,7:30p EST,,Box Score,@,Detroit Pistons,L,,101,109,33,48,L 1,,False,
82,Wed Apr 17 2013,8:00p EST,,Box Score,@,Indiana Pacers,W,,105,95,34,48,W 1,,False,
