G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Tue Mar 4 2014,,,Box Score,,Philadelphia 76ers,W,,125,92,46,15,W 3,,False,
62,Thu Mar 6 2014,,,Box Score,@,Phoenix Suns,L,,122,128,46,16,L 1,,False,
63,Sun Mar 9 2014,,,Box Score,@,Los Angeles Lakers,L,,110,114,46,17,L 2,,False,
64,Tue Mar 11 2014,,,Box Score,,Houston Rockets,W,,106,98,47,17,W 1,,False,
65,Thu Mar 13 2014,,,Box Score,,Los Angeles Lakers,W,,131,102,48,17,W 2,,False,
66,Sun Mar 16 2014,,,Box Score,,Dallas Mavericks,L,,86,109,48,18,L 1,,False,
67,Mon Mar 17 2014,,,Box Score,@,Chicago Bulls,W,,97,85,49,18,W 1,,False,
68,Thu Mar 20 2014,,,Box Score,@,Cleveland Cavaliers,W,,102,95,50,18,W 2,,False,
69,Fri Mar 21 2014,,,Box Score,@,Toronto Raptors,W,2OT,119,118,51,18,W 3,,False,
70,Mon Mar 24 2014,,,Box Score,,Denver Nuggets,W,,117,96,52,18,W 4,,False,
71,Tue Mar 25 2014,,,Box Score,@,Dallas Mavericks,L,OT,119,128,52,19,L 1,,False,
72,Fri Mar 28 2014,,,Box Score,,Sacramento Kings,W,,94,81,53,19,W 1,,False,
73,Sun Mar 30 2014,,,Box Score,,Utah Jazz,W,,116,96,54,19,W 2,,False,
74,Thu Apr 3 2014,,,Box Score,,San Antonio Spurs,W,,106,94,55,19,W 3,,False,
75,Fri Apr 4 2014,,,Box Score,@,Houston Rockets,L,,107,111,55,20,L 1,,False,
76,Sun Apr 6 2014,,,Box Score,@,Phoenix Suns,L,,115,122,55,21,L 2,,False,
77,Tue Apr 8 2014,,,Box Score,@,Sacramento Kings,W,,107,92,56,21,W 1,,False,
78,Wed Apr 9 2014,,,Box Score,@,Los Angeles Clippers,W,,107,101,57,21,W 2,,False,
79,Fri Apr 11 2014,,,Box Score,,New Orleans Pelicans,W,,116,94,58,21,W 3,,False,
80,Sun Apr 13 2014,,,Box Score,@,Indiana Pacers,L,,97,102,58,22,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Mon Apr 14 2014,,,Box Score,@,New Orleans Pelicans,L,,89,101,58,23,L 2,,False,
82,Wed Apr 16 2014,,,Box Score,,Detroit Pistons,W,,112,111,59,23,W 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
1,Sat Apr 19 2014,9:43p EST,,Box Score,,Memphis Grizzlies,W,,100,86,1,0,W 1,,True,
2,Mon Apr 21 2014,8:00p EST,,Box Score,,Memphis Grizzlies,L,OT,105,111,1,1,L 1,,True,
3,Thu Apr 24 2014,8:00p EST,,Box Score,@,Memphis Grizzlies,L,OT,95,98,1,2,L 2,,True,
4,Sat Apr 26 2014,9:30p EST,,Box Score,@,Memphis Grizzlies,W,OT,92,89,2,2,W 1,,True,
5,Tue Apr 29 2014,9:00p EST,,Box Score,,Memphis Grizzlies,L,OT,99,100,2,3,L 1,,True,
6,Thu May 1 2014,8:00p EST,,Box Score,@,Memphis Grizzlies,W,,104,84,3,3,W 1,,True,
7,Sat May 3 2014,8:00p EST,,Box Score,,Memphis Grizzlies,W,,120,109,4,3,W 2,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
8,Mon May 5 2014,9:42p EST,,Box Score,,Los Angeles Clippers,L,,105,122,4,4,L 1,,True,
9,Wed May 7 2014,9:30p EST,,Box Score,,Los Angeles Clippers,W,,112,101,5,4,W 1,,True,
10,Fri May 9 2014,10:30p EST,,Box Score,@,Los Angeles Clippers,W,,118,112,6,4,W 2,,True,
11,Sun May 11 2014,3:30p EST,,Box Score,@,Los Angeles Clippers,L,,99,101,6,5,L 1,,True,
12,Tue May 13 2014,9:30p EST,,Box Score,,Los Angeles Clippers,W,,105,104,7,5,W 1,,True,
13,Thu May 15 2014,10:30p EST,,Box Score,@,Los Angeles Clippers,W,,104,98,8,5,W 2,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
14,Mon May 19 2014,9:00p EST,,Box Score,@,San Antonio Spurs,L,,105,122,8,6,L 1,,True,
15,Wed May 21 2014,9:00p EST,,Box Score,@,San Antonio Spurs,L,,77,112,8,7,L 2,,True,
16,Sun May 25 2014,8:30p EST,,Box Score,,San Antonio Spurs,W,,106,97,9,7,W 1,,True,
17,Tue May 27 2014,9:00p EST,,Box Score,,San Antonio Spurs,W,,105,92,10,7,W 2,,True,
18,Thu May 29 2014,9:00p EST,,Box Score,@,San Antonio Spurs,L,,89,117,10,8,L 1,,True,
19,Sat May 31 2014,8:30p EST,,Box Score,,San Antonio Spurs,L,OT,107,112,10,9,L 2,,True,
