G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Tue Oct 29 2013,,,Box Score,,Orlando Magic,W,,97,87,1,0,W 1,,False,
2,Wed Oct 30 2013,,,Box Score,@,New Orleans Pelicans,W,,95,90,2,0,W 2,,False,
3,Sat Nov 2 2013,,,Box Score,,Cleveland Cavaliers,W,,89,74,3,0,W 3,,False,
4,Tue Nov 5 2013,,,Box Score,@,Detroit Pistons,W,,99,91,4,0,W 4,,False,
5,Wed Nov 6 2013,,,Box Score,,Chicago Bulls,W,,97,80,5,0,W 5,,False,
6,Fri Nov 8 2013,,,Box Score,,Toronto Raptors,W,,91,84,6,0,W 6,,False,
7,Sat Nov 9 2013,,,Box Score,@,Brooklyn Nets,W,,96,91,7,0,W 7,,False,
8,Mon Nov 11 2013,,,Box Score,,Memphis Grizzlies,W,,95,79,8,0,W 8,,False,
9,Fri Nov 15 2013,,,Box Score,,Milwaukee Bucks,W,,104,77,9,0,W 9,,False,
10,Sat Nov 16 2013,,,Box Score,@,Chicago Bulls,L,,94,110,9,1,L 1,,False,
11,Wed Nov 20 2013,,,Box Score,@,New York Knicks,W,OT,103,96,10,1,W 1,,False,
12,Fri Nov 22 2013,,,Box Score,@,Boston Celtics,W,,97,82,11,1,W 2,,False,
13,Sat Nov 23 2013,,,Box Score,,Philadelphia 76ers,W,,106,98,12,1,W 3,,False,
14,Mon Nov 25 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,98,84,13,1,W 4,,False,
15,Wed Nov 27 2013,,,Box Score,@,Charlotte Bobcats,W,,99,74,14,1,W 5,,False,
16,Fri Nov 29 2013,,,Box Score,,Washington Wizards,W,,93,73,15,1,W 6,,False,
17,Sun Dec 1 2013,,,Box Score,@,Los Angeles Clippers,W,,105,100,16,1,W 7,,False,
18,Mon Dec 2 2013,,,Box Score,@,Portland Trail Blazers,L,,102,106,16,2,L 1,,False,
19,Wed Dec 4 2013,,,Box Score,@,Utah Jazz,W,,95,86,17,2,W 1,,False,
20,Sat Dec 7 2013,,,Box Score,@,San Antonio Spurs,W,,111,100,18,2,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Sun Dec 8 2013,,,Box Score,@,Oklahoma City Thunder,L,,94,118,18,3,L 1,,False,
22,Tue Dec 10 2013,,,Box Score,,Miami Heat,W,,90,84,19,3,W 1,,False,
23,Fri Dec 13 2013,,,Box Score,,Charlotte Bobcats,W,,99,94,20,3,W 2,,False,
24,Mon Dec 16 2013,,,Box Score,,Detroit Pistons,L,,96,101,20,4,L 1,,False,
25,Wed Dec 18 2013,,,Box Score,@,Miami Heat,L,,94,97,20,5,L 2,,False,
26,Fri Dec 20 2013,,,Box Score,,Houston Rockets,W,,114,81,21,5,W 1,,False,
27,Sun Dec 22 2013,6:00p EST,,Box Score,,Boston Celtics,W,,106,79,22,5,W 2,,False,
28,Mon Dec 23 2013,,,Box Score,@,Brooklyn Nets,W,,103,86,23,5,W 3,,False,
29,Sat Dec 28 2013,,,Box Score,,Brooklyn Nets,W,,105,91,24,5,W 4,,False,
30,Tue Dec 31 2013,,,Box Score,,Cleveland Cavaliers,W,,91,76,25,5,W 5,,False,
31,Wed Jan 1 2014,,,Box Score,@,Toronto Raptors,L,,82,95,25,6,L 1,,False,
32,Sat Jan 4 2014,,,Box Score,,New Orleans Pelicans,W,,99,82,26,6,W 1,,False,
