G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
19,Wed Dec 12 2012,7:00p EST,,Box Score,@,Orlando Magic,W,,86,80,13,6,W 1,,False,
20,Thu Dec 13 2012,7:30p EST,,Box Score,,Charlotte Bobcats,W,,113,90,14,6,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Sat Dec 15 2012,7:00p EST,,Box Score,,Golden State Warriors,L,,93,115,14,7,L 1,,False,
22,Tue Dec 18 2012,7:00p EST,,Box Score,@,Washington Wizards,W,OT,100,95,15,7,W 1,,False,
23,Wed Dec 19 2012,7:30p EST,,Box Score,,Oklahoma City Thunder,L,,92,100,15,8,L 1,,False,
24,Fri Dec 21 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,80,99,15,9,L 2,,False,
25,Sat Dec 22 2012,7:00p EST,,Box Score,,Chicago Bulls,W,,92,75,16,9,W 1,,False,
26,Wed Dec 26 2012,7:30p EST,,Box Score,,Detroit Pistons,W,2OT,126,119,17,9,W 2,,False,
27,Fri Dec 28 2012,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,102,94,18,9,W 3,,False,
28,Sat Dec 29 2012,7:00p EST,,Box Score,,Indiana Pacers,W,,109,100,19,9,W 4,,False,
29,Mon Dec 31 2012,6:00p EST,,Box Score,@,Houston Rockets,L,,104,123,19,10,L 1,,False,
30,Tue Jan 1 2013,7:00p EST,,Box Score,@,New Orleans Hornets,W,,95,86,20,10,W 1,,False,
31,Fri Jan 4 2013,7:30p EST,,Box Score,@,Detroit Pistons,L,,84,85,20,11,L 1,,False,
32,Sat Jan 5 2013,7:00p EST,,Box Score,,Boston Celtics,L,,81,89,20,12,L 2,,False,
33,Tue Jan 8 2013,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,103,108,20,13,L 3,,False,
34,Wed Jan 9 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,83,99,20,14,L 4,,False,
35,Fri Jan 11 2013,7:30p EST,,Box Score,,Utah Jazz,W,,103,95,21,14,W 1,,False,
36,Sat Jan 12 2013,7:00p EST,,Box Score,@,Washington Wizards,L,,83,93,21,15,L 1,,False,
37,Mon Jan 14 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,58,97,21,16,L 2,,False,
38,Wed Jan 16 2013,7:30p EST,,Box Score,,Brooklyn Nets,W,,109,95,22,16,W 1,,False,
39,Fri Jan 18 2013,7:30p EST,,Box Score,@,Brooklyn Nets,L,,89,94,22,17,L 1,,False,
40,Sat Jan 19 2013,7:00p EST,,Box Score,,San Antonio Spurs,L,,93,98,22,18,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
41,Mon Jan 21 2013,2:00p EST,,Box Score,,Minnesota Timberwolves,W,,104,96,23,18,W 1,,False,
42,Wed Jan 23 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,104,92,24,18,W 2,,False,
43,Fri Jan 25 2013,7:30p EST,,Box Score,,Boston Celtics,W,2OT,123,111,25,18,W 3,,False,
44,Sun Jan 27 2013,6:30p EST,,Box Score,@,New York Knicks,L,,104,106,25,19,L 1,,False,
45,Wed Jan 30 2013,7:30p EST,,Box Score,,Toronto Raptors,W,,93,92,26,19,W 1,,False,
46,Sat Feb 2 2013,7:00p EST,,Box Score,,Chicago Bulls,L,,76,93,26,20,L 1,,False,
47,Tue Feb 5 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,103,114,26,21,L 2,,False,
