G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Mon Mar 4 2013,7:00p EST,,Box Score,@,New Orleans Hornets,W,,105,102,17,44,W 1,,False,
62,Wed Mar 6 2013,7:30p EST,,Box Score,@,Miami Heat,L,,96,97,17,45,L 1,,False,
63,Fri Mar 8 2013,7:00p EST,,Box Score,,Indiana Pacers,L,,86,115,17,46,L 2,,False,
64,Sun Mar 10 2013,6:00p EST,,Box Score,,Philadelphia 76ers,W,,99,91,18,46,W 1,,False,
65,Tue Mar 12 2013,7:00p EST,,Box Score,,Los Angeles Lakers,L,,97,106,18,47,L 1,,False,
66,Fri Mar 15 2013,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,104,117,18,48,L 2,,False,
67,Sun Mar 17 2013,12:00p EST,,Box Score,@,Milwaukee Bucks,L,,109,115,18,49,L 3,,False,
68,Tue Mar 19 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,73,95,18,50,L 4,,False,
69,Wed Mar 20 2013,7:30p EST,,Box Score,@,New York Knicks,L,,94,106,18,51,L 5,,False,
70,Fri Mar 22 2013,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,89,97,18,52,L 6,,False,
71,Mon Mar 25 2013,7:00p EST,,Box Score,,Miami Heat,L,,94,108,18,53,L 7,,False,
72,Wed Mar 27 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,108,114,18,54,L 8,,False,
73,Fri Mar 29 2013,7:00p EST,,Box Score,,Washington Wizards,W,,97,92,19,54,W 1,,False,
74,Sat Mar 30 2013,7:00p EST,,Box Score,@,Atlanta Hawks,L,,88,97,19,55,L 1,,False,
75,Mon Apr 1 2013,7:00p EST,,Box Score,@,Houston Rockets,L,,103,111,19,56,L 2,,False,
76,Wed Apr 3 2013,7:30p EST,,Box Score,@,San Antonio Spurs,L,,84,98,19,57,L 3,,False,
77,Fri Apr 5 2013,7:00p EST,,Box Score,@,Chicago Bulls,L,,86,87,19,58,L 4,,False,
78,Sun Apr 7 2013,6:00p EST,,Box Score,@,Cleveland Cavaliers,L,,85,91,19,59,L 5,,False,
79,Wed Apr 10 2013,7:00p EST,,Box Score,,Milwaukee Bucks,W,OT,113,103,20,59,W 1,,False,
80,Sat Apr 13 2013,7:00p EST,,Box Score,,Boston Celtics,L,,88,120,20,60,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Mon Apr 15 2013,7:00p EST,,Box Score,,Chicago Bulls,L,,84,102,20,61,L 2,,False,
82,Wed Apr 17 2013,8:00p EST,,Box Score,@,Miami Heat,L,,93,105,20,62,L 3,,False,
