G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
54,Sat Feb 23 2013,7:00p EST,,Box Score,,Houston Rockets,W,,105,103,17,37,W 2,,False,
55,Mon Feb 25 2013,7:00p EST,,Box Score,@,Toronto Raptors,W,,90,84,18,37,W 3,,False,
56,Wed Feb 27 2013,7:00p EST,,Box Score,,Detroit Pistons,L,,95,96,18,38,L 1,,False,
57,Fri Mar 1 2013,7:00p EST,,Box Score,,New York Knicks,L,,88,96,18,39,L 2,,False,
58,Sun Mar 3 2013,6:00p EST,,Box Score,,Philadelphia 76ers,W,,90,87,19,39,W 1,,False,
59,Wed Mar 6 2013,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,82,87,19,40,L 1,,False,
60,Fri Mar 8 2013,7:30p EST,,Box Score,@,Brooklyn Nets,L,,78,95,19,41,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Sat Mar 9 2013,8:00p EST,,Box Score,,Charlotte Bobcats,W,,104,87,20,41,W 1,,False,
62,Tue Mar 12 2013,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,90,95,20,42,L 1,,False,
63,Wed Mar 13 2013,7:00p EST,,Box Score,,Milwaukee Bucks,W,,106,93,21,42,W 1,,False,
64,Fri Mar 15 2013,7:00p EST,,Box Score,,New Orleans Hornets,W,,96,87,22,42,W 2,,False,
65,Sat Mar 16 2013,7:00p EST,,Box Score,,Phoenix Suns,W,,127,105,23,42,W 3,,False,
66,Mon Mar 18 2013,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,114,119,23,43,L 1,,False,
67,Wed Mar 20 2013,7:00p EST,,Box Score,@,Phoenix Suns,W,,88,79,24,43,W 1,,False,
68,Fri Mar 22 2013,7:30p EST,,Box Score,@,Los Angeles Lakers,W,,103,100,25,43,W 2,,False,
69,Sat Mar 23 2013,7:30p EST,,Box Score,@,Golden State Warriors,L,,92,101,25,44,L 1,,False,
70,Mon Mar 25 2013,7:00p EST,,Box Score,,Memphis Grizzlies,W,,107,94,26,44,W 1,,False,
71,Wed Mar 27 2013,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,80,103,26,45,L 1,,False,
