G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
1,Wed Oct 30 2013,,,Box Score,,Memphis Grizzlies,W,,101,94,1,0,W 1,,False,
2,Fri Nov 1 2013,,,Box Score,@,Los Angeles Lakers,W,,91,85,2,0,W 2,,False,
3,Sat Nov 2 2013,,,Box Score,@,Portland Trail Blazers,L,,105,115,2,1,L 1,,False,
4,Tue Nov 5 2013,,,Box Score,@,Denver Nuggets,W,,102,94,3,1,W 1,,False,
5,Wed Nov 6 2013,,,Box Score,,Phoenix Suns,W,,99,96,4,1,W 2,,False,
6,Fri Nov 8 2013,,,Box Score,,Golden State Warriors,W,,76,74,5,1,W 3,,False,
7,Sun Nov 10 2013,,,Box Score,@,New York Knicks,W,,120,89,6,1,W 4,,False,
8,Mon Nov 11 2013,,,Box Score,@,Philadelphia 76ers,W,,109,85,7,1,W 5,,False,
9,Wed Nov 13 2013,,,Box Score,,Washington Wizards,W,,92,79,8,1,W 6,,False,
10,Fri Nov 15 2013,,,Box Score,@,Utah Jazz,W,,91,82,9,1,W 7,,False,
11,Wed Nov 20 2013,,,Box Score,,Boston Celtics,W,,104,93,10,1,W 8,,False,
12,Fri Nov 22 2013,,,Box Score,@,Memphis Grizzlies,W,,102,86,11,1,W 9,,False,
13,Sat Nov 23 2013,,,Box Score,,Cleveland Cavaliers,W,,126,96,12,1,W 10,,False,
14,Mon Nov 25 2013,,,Box Score,,New Orleans Pelicans,W,,112,93,13,1,W 11,,False,
15,Wed Nov 27 2013,,,Box Score,@,Oklahoma City Thunder,L,,88,94,13,2,L 1,,False,
16,Fri Nov 29 2013,,,Box Score,@,Orlando Magic,W,,109,91,14,2,W 1,,False,
17,Sat Nov 30 2013,,,Box Score,,Houston Rockets,L,,106,112,14,3,L 1,,False,
18,Mon Dec 2 2013,,,Box Score,,Atlanta Hawks,W,,102,100,15,3,W 1,,False,
19,Sat Dec 7 2013,,,Box Score,,Indiana Pacers,L,,100,111,15,4,L 1,,False,
20,Tue Dec 10 2013,,,Box Score,@,Toronto Raptors,W,,116,103,16,4,W 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
21,Wed Dec 11 2013,,,Box Score,@,Milwaukee Bucks,W,,109,77,17,4,W 2,,False,
22,Fri Dec 13 2013,8:30p EST,,Box Score,,Minnesota Timberwolves,W,,117,110,18,4,W 3,,False,
23,Sat Dec 14 2013,,,Box Score,@,Utah Jazz,W,,100,84,19,4,W 4,,False,
24,Mon Dec 16 2013,,,Box Score,@,Los Angeles Clippers,L,,92,115,19,5,L 1,,False,
25,Wed Dec 18 2013,,,Box Score,@,Phoenix Suns,W,,108,101,20,5,W 1,,False,
26,Thu Dec 19 2013,,,Box Score,@,Golden State Warriors,W,,104,102,21,5,W 2,,False,
27,Sat Dec 21 2013,,,Box Score,,Oklahoma City Thunder,L,,100,113,21,6,L 1,,False,
28,Mon Dec 23 2013,,,Box Score,,Toronto Raptors,W,,112,99,22,6,W 1,,False,
29,Wed Dec 25 2013,,,Box Score,,Houston Rockets,L,,98,111,22,7,L 1,,False,
30,Thu Dec 26 2013,,,Box Score,@,Dallas Mavericks,W,,116,107,23,7,W 1,,False,
31,Sun Dec 29 2013,,,Box Score,,Sacramento Kings,W,,112,104,24,7,W 2,,False,
32,Tue Dec 31 2013,,,Box Score,,Brooklyn Nets,W,,113,92,25,7,W 3,,False,
33,Thu Jan 2 2014,,,Box Score,,New York Knicks,L,,101,105,25,8,L 1,,False,
34,Sat Jan 4 2014,,,Box Score,,Los Angeles Clippers,W,,116,92,26,8,W 1,,False,
35,Tue Jan 7 2014,,,Box Score,@,Memphis Grizzlies,W,OT,110,108,27,8,W 2,,False,
36,Wed Jan 8 2014,,,Box Score,,Dallas Mavericks,W,,112,90,28,8,W 3,,False,
37,Sun Jan 12 2014,,,Box Score,,Minnesota Timberwolves,W,,104,86,29,8,W 4,,False,
38,Mon Jan 13 2014,,,Box Score,@,New Orleans Pelicans,W,,101,95,30,8,W 5,,False,
39,Wed Jan 15 2014,,,Box Score,,Utah Jazz,W,,109,105,31,8,W 6,,False,
