G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
52,Tue Feb 12 2013,7:30p EST,,Box Score,,Houston Rockets,L,,107,116,30,22,L 5,,False,
53,Tue Feb 19 2013,7:00p EST,,Box Score,@,Utah Jazz,L,,101,115,30,23,L 6,,False,
54,Wed Feb 20 2013,7:30p EST,,Box Score,,Phoenix Suns,W,,108,98,31,23,W 1,,False,
55,Fri Feb 22 2013,7:30p EST,,Box Score,,San Antonio Spurs,W,OT,107,101,32,23,W 2,,False,
56,Sun Feb 24 2013,2:30p EST,,Box Score,@,Minnesota Timberwolves,W,,100,99,33,23,W 3,,False,
57,Tue Feb 26 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,97,108,33,24,L 1,,False,
58,Wed Feb 27 2013,8:00p EST,,Box Score,@,New York Knicks,L,,105,109,33,25,L 2,,False,
59,Fri Mar 1 2013,7:30p EST,,Box Score,@,Boston Celtics,L,,86,94,33,26,L 3,,False,
60,Sat Mar 2 2013,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,97,104,33,27,L 4,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Mon Mar 4 2013,7:30p EST,,Box Score,,Toronto Raptors,W,,125,118,34,27,W 1,,False,
62,Wed Mar 6 2013,7:30p EST,,Box Score,,Sacramento Kings,W,,87,83,35,27,W 2,,False,
63,Fri Mar 8 2013,7:30p EST,,Box Score,,Houston Rockets,L,,88,94,35,28,L 1,,False,
64,Sat Mar 9 2013,7:30p EST,,Box Score,,Milwaukee Bucks,L,,93,103,35,29,L 2,,False,
65,Mon Mar 11 2013,7:30p EST,,Box Score,,New York Knicks,W,,92,63,36,29,W 1,,False,
66,Wed Mar 13 2013,7:30p EST,,Box Score,,Detroit Pistons,W,,105,97,37,29,W 2,,False,
67,Fri Mar 15 2013,7:30p EST,,Box Score,,Chicago Bulls,L,,95,113,37,30,L 1,,False,
68,Sun Mar 17 2013,6:00p EST,,Box Score,@,Houston Rockets,W,,108,78,38,30,W 1,,False,
69,Mon Mar 18 2013,7:00p EST,,Box Score,@,New Orleans Hornets,W,,93,72,39,30,W 2,,False,
70,Wed Mar 20 2013,7:30p EST,,Box Score,@,San Antonio Spurs,L,,93,104,39,31,L 1,,False,
71,Sat Mar 23 2013,7:30p EST,,Box Score,,Washington Wizards,W,,101,92,40,31,W 1,,False,
72,Mon Mar 25 2013,7:30p EST,,Box Score,,Los Angeles Lakers,W,,109,103,41,31,W 2,,False,
73,Wed Mar 27 2013,7:30p EST,,Box Score,,Sacramento Kings,L,,98,105,41,32,L 1,,False,
74,Sat Mar 30 2013,7:30p EST,,Box Score,,Portland Trail Blazers,W,,125,98,42,32,W 1,,False,
75,Wed Apr 3 2013,7:30p EST,,Box Score,,New Orleans Hornets,W,,98,88,43,32,W 2,,False,
76,Fri Apr 5 2013,7:00p EST,,Box Score,@,Phoenix Suns,W,,111,107,44,32,W 3,,False,
77,Sun Apr 7 2013,5:00p EST,,Box Score,,Utah Jazz,L,,90,97,44,33,L 1,,False,
78,Tue Apr 9 2013,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,105,89,45,33,W 1,,False,
79,Thu Apr 11 2013,7:30p EST,,Box Score,,Oklahoma City Thunder,L,,97,116,45,34,L 1,,False,
80,Fri Apr 12 2013,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,116,118,45,35,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Mon Apr 15 2013,7:30p EST,,Box Score,,San Antonio Spurs,W,,116,106,46,35,W 1,,False,
82,Wed Apr 17 2013,7:30p EST,,Box Score,@,Portland Trail Blazers,W,,99,88,47,35,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
1,Sat Apr 20 2013,,,Box Score,@,Denver Nuggets,L,,95,97,0,1,L 1,,True,
2,Tue Apr 23 2013,,,Box Score,@,Denver Nuggets,W,,131,117,1,1,W 1,,True,
3,Fri Apr 26 2013,,,Box Score,,Denver Nuggets,W,,110,108,2,1,W 2,,True,
4,Sun Apr 28 2013,,,Box Score,,Denver Nuggets,W,,115,101,3,1,W 3,,True,
5,Tue Apr 30 2013,,,Box Score,@,Denver Nuggets,L,,100,107,3,2,L 1,,True,
6,Thu May 2 2013,,,Box Score,,Denver Nuggets,W,,92,88,4,2,W 1,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
7,Mon May 6 2013,,,Box Score,@,San Antonio Spurs,L,2OT,127,129,4,3,L 1,,True,
8,Wed May 8 2013,,,Box Score,@,San Antonio Spurs,W,,100,91,5,3,W 1,,True,
9,Fri May 10 2013,,,Box Score,,San Antonio Spurs,L,,92,102,5,4,L 1,,True,
10,Sun May 12 2013,,,Box Score,,San Antonio Spurs,W,OT,97,87,6,4,W 1,,True,
11,Tue May 14 2013,,,Box Score,@,San Antonio Spurs,L,,91,109,6,5,L 1,,True,
12,Thu May 16 2013,,,Box Score,,San Antonio Spurs,L,,82,94,6,6,L 2,,True,
