G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
64,Mon Mar 11 2013,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,105,93,49,15,W 1,,False,
65,Tue Mar 12 2013,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,83,107,49,16,L 1,,False,
66,Thu Mar 14 2013,7:00p EST,,Box Score,,Dallas Mavericks,W,,92,91,50,16,W 1,,False,
67,Sat Mar 16 2013,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,119,113,51,16,W 2,,False,
68,Wed Mar 20 2013,7:30p EST,,Box Score,,Golden State Warriors,W,,104,93,52,16,W 3,,False,
69,Fri Mar 22 2013,7:30p EST,,Box Score,,Utah Jazz,W,OT,104,97,53,16,W 4,,False,
70,Sun Mar 24 2013,6:00p EST,,Box Score,@,Houston Rockets,L,,95,96,53,17,L 1,,False,
71,Wed Mar 27 2013,7:30p EST,,Box Score,,Denver Nuggets,W,,100,99,54,17,W 1,,False,
72,Fri Mar 29 2013,7:30p EST,,Box Score,,Los Angeles Clippers,W,,104,102,55,17,W 2,,False,
73,Sun Mar 31 2013,6:00p EST,,Box Score,,Miami Heat,L,,86,88,55,18,L 1,,False,
74,Mon Apr 1 2013,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,90,92,55,19,L 2,,False,
75,Wed Apr 3 2013,7:30p EST,,Box Score,,Orlando Magic,W,,98,84,56,19,W 1,,False,
76,Thu Apr 4 2013,8:30p EST,,Box Score,@,Oklahoma City Thunder,L,,88,100,56,20,L 1,,False,
77,Sat Apr 6 2013,7:30p EST,,Box Score,,Atlanta Hawks,W,,99,97,57,20,W 1,,False,
78,Wed Apr 10 2013,8:30p EST,,Box Score,@,Denver Nuggets,L,,86,96,57,21,L 1,,False,
79,Fri Apr 12 2013,7:30p EST,,Box Score,,Sacramento Kings,W,,108,101,58,21,W 1,,False,
80,Sun Apr 14 2013,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,86,91,58,22,L 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Mon Apr 15 2013,7:30p EST,,Box Score,@,Golden State Warriors,L,,106,116,58,23,L 2,,False,
82,Wed Apr 17 2013,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,95,108,58,24,L 3,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
1,Sun Apr 21 2013,,,Box Score,,Los Angeles Lakers,W,,91,79,1,0,W 1,,True,
2,Wed Apr 24 2013,,,Box Score,,Los Angeles Lakers,W,,102,91,2,0,W 2,,True,
3,Fri Apr 26 2013,,,Box Score,@,Los Angeles Lakers,W,,120,89,3,0,W 3,,True,
4,Sun Apr 28 2013,,,Box Score,@,Los Angeles Lakers,W,,103,82,4,0,W 4,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
5,Mon May 6 2013,,,Box Score,,Golden State Warriors,W,2OT,129,127,5,0,W 5,,True,
6,Wed May 8 2013,,,Box Score,,Golden State Warriors,L,,91,100,5,1,L 1,,True,
7,Fri May 10 2013,,,Box Score,@,Golden State Warriors,W,,102,92,6,1,W 1,,True,
8,Sun May 12 2013,,,Box Score,@,Golden State Warriors,L,OT,87,97,6,2,L 1,,True,
9,Tue May 14 2013,,,Box Score,,Golden State Warriors,W,,109,91,7,2,W 1,,True,
10,Thu May 16 2013,,,Box Score,@,Golden State Warriors,W,,94,82,8,2,W 2,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
11,Sun May 19 2013,,,Box Score,,Memphis Grizzlies,W,,105,83,9,2,W 3,,True,
12,Tue May 21 2013,,,Box Score,,Memphis Grizzlies,W,OT,93,89,10,2,W 4,,True,
13,Sat May 25 2013,,,Box Score,@,Memphis Grizzlies,W,OT,104,93,11,2,W 5,,True,
14,Mon May 27 2013,,,Box Score,@,Memphis Grizzlies,W,,93,86,12,2,W 6,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
15,Thu Jun 6 2013,,,Box Score,@,Miami Heat,W,,92,88,13,2,W 7,,True,
16,Sun Jun 9 2013,,,Box Score,@,Miami Heat,L,,84,103,13,3,L 1,,True,
17,Tue Jun 11 2013,,,Box Score,,Miami Heat,W,,113,77,14,3,W 1,,True,
18,Thu Jun 13 2013,,,Box Score,,Miami Heat,L,,93,109,14,4,L 1,,True,
19,Sun Jun 16 2013,,,Box Score,,Miami Heat,W,,114,104,15,4,W 1,,True,
20,Tue Jun 18 2013,,,Box Score,@,Miami Heat,L,OT,100,103,15,5,L 1,,True,
21,Thu Jun 20 2013,,,Box Score,@,Miami Heat,L,,88,95,15,6,L 2,,True,
