G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
55,Sat Apr 7 2012,7:00p EST,,Box Score,@,Indiana Pacers,W,,86,72,31,24,W 1,,False,
56,Sun Apr 8 2012,6:00p EST,,Box Score,,Philadelphia 76ers,W,,103,79,32,24,W 2,,False,
57,Tue Apr 10 2012,7:00p EST,,Box Score,@,Miami Heat,W,,115,107,33,24,W 3,,False,
58,Wed Apr 11 2012,8:00p EST,,Box Score,,Atlanta Hawks,W,OT,88,86,34,24,W 4,,False,
59,Fri Apr 13 2012,7:00p EST,,Box Score,@,Toronto Raptors,L,,79,84,34,25,L 1,,False,
60,Sat Apr 14 2012,7:30p EST,,Box Score,@,New Jersey Nets,W,,94,82,35,25,W 1,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
61,Sun Apr 15 2012,6:00p EST,,Box Score,@,Charlotte Bobcats,W,,94,82,36,25,W 2,,False,
62,Tue Apr 17 2012,8:00p EST,,Box Score,@,New York Knicks,L,,110,118,36,26,L 1,,False,
63,Wed Apr 18 2012,8:00p EST,,Box Score,,Orlando Magic,W,,102,98,37,26,W 1,,False,
64,Fri Apr 20 2012,7:00p EST,,Box Score,@,Atlanta Hawks,L,,92,97,37,27,L 1,,False,
65,Tue Apr 24 2012,8:00p EST,,Box Score,,Miami Heat,W,,78,66,38,27,W 1,,False,
66,Thu Apr 26 2012,8:00p EST,,Box Score,,Milwaukee Bucks,W,,87,74,39,27,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
1,Sun Apr 29 2012,7:00p EST,,Box Score,@,Atlanta Hawks,L,,74,83,0,1,L 1,,True,
2,Tue May 1 2012,7:30p EST,,Box Score,@,Atlanta Hawks,W,,87,80,1,1,W 1,,True,
3,Fri May 4 2012,7:30p EST,,Box Score,,Atlanta Hawks,W,OT,90,84,2,1,W 2,,True,
4,Sun May 6 2012,7:00p EST,,Box Score,,Atlanta Hawks,W,,101,79,3,1,W 3,,True,
5,Tue May 8 2012,8:00p EST,,Box Score,@,Atlanta Hawks,L,,86,87,3,2,L 1,,True,
6,Thu May 10 2012,8:00p EST,,Box Score,,Atlanta Hawks,W,,83,80,4,2,W 1,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
7,Sat May 12 2012,8:00p EST,,Box Score,,Philadelphia 76ers,W,,92,91,5,2,W 2,,True,
8,Mon May 14 2012,7:00p EST,,Box Score,,Philadelphia 76ers,L,,81,82,5,3,L 1,,True,
9,Wed May 16 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,107,91,6,3,W 1,,True,
10,Fri May 18 2012,8:00p EST,,Box Score,@,Philadelphia 76ers,L,,83,92,6,4,L 1,,True,
11,Mon May 21 2012,7:00p EST,,Box Score,,Philadelphia 76ers,W,,101,85,7,4,W 1,,True,
12,Wed May 23 2012,8:00p EST,,Box Score,@,Philadelphia 76ers,L,,75,82,7,5,L 1,,True,
13,Sat May 26 2012,8:00p EST,,Box Score,,Philadelphia 76ers,W,,85,75,8,5,W 1,,True,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
14,Mon May 28 2012,8:30p EST,,Box Score,@,Miami Heat,L,,79,93,8,6,L 1,,True,
15,Wed May 30 2012,8:30p EST,,Box Score,@,Miami Heat,L,OT,111,115,8,7,L 2,,True,
16,Fri Jun 1 2012,8:30p EST,,Box Score,,Miami Heat,W,,101,91,9,7,W 1,,True,
17,Sun Jun 3 2012,8:30p EST,,Box Score,,Miami Heat,W,OT,93,91,10,7,W 2,,True,
18,Tue Jun 5 2012,8:30p EST,,Box Score,@,Miami Heat,W,,94,90,11,7,W 3,,True,
19,Thu Jun 7 2012,8:30p EST,,Box Score,,Miami Heat,L,,79,98,11,8,L 1,,True,
20,Sat Jun 9 2012,8:30p EST,,Box Score,@,Miami Heat,L,,88,101,11,9,L 2,,True,
